Dataset,Model,class_ent,eq_num_attr,gravity,inst_to_attr,nr_attr,nr_bin,nr_class,nr_cor_attr,nr_inst,nr_norm,nr_outliers,ns_ratio,Processing Units Number,Model Capability,Solution Stochasticity,Loss Margin Behaviour,Input Distribution Modelling,Fitting Regime,MCC
5G_Slicing,AdaBoost,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,300,9,3,3,1,2,1.0
5G_Slicing,Bagging,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,46673850,8,3,1,1,2,1.0
5G_Slicing,BernoulliNB,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,72,1,1,2,3,1,0.8753731841283968
5G_Slicing,DNN,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,56,6,2,2,1,3,1.0
5G_Slicing,DT,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,933477,5,1,1,1,2,1.0
5G_Slicing,ExtraTree,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,933477,5,5,1,1,2,1.0
5G_Slicing,FT-Transformer,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,384,7,2,2,1,3,1.0
5G_Slicing,GaussianNB,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,141,1,1,2,3,1,0.7625032652257198
5G_Slicing,KNN,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,253,4,1,1,2,1,1.0
5G_Slicing,LDA,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,345,2,1,1,4,1,1.0
5G_Slicing,LR,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,72,3,1,2,1,2,1.0
5G_Slicing,LightGBM_ExtraTrees,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,12500,9,5,2,1,2,1.0
5G_Slicing,LightGBM_RF,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,12500,9,4,2,1,2,1.0
5G_Slicing,LinearSVC,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,72,3,1,4,1,2,1.0
5G_Slicing,MLP,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,100,6,2,2,1,3,1.0
5G_Slicing,PassiveAggressive,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,72,3,2,4,1,4,1.0
5G_Slicing,Perceptron,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,72,3,2,5,1,4,1.0
5G_Slicing,QDA,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,897,2,1,1,5,1,1.0
5G_Slicing,Ridge,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,72,3,1,1,1,1,1.0
5G_Slicing,SGD,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,72,3,2,4,1,3,1.0
5G_Slicing,TabICL,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,27552258,10,2,2,1,5,1.0
5G_Slicing,TabNet,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,128,7,2,2,1,3,1.0
5G_Slicing,TabPFN,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,53153144,10,2,2,1,5,1.0
5G_Slicing,TabTransformer,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,138,7,2,2,1,3,1.0
5G_Slicing,XGBoost,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,12700,9,4,2,1,2,1.0
ASNM-CDX-2009,AdaBoost,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,150,9,3,3,1,2,0.854941573661119
ASNM-CDX-2009,Bagging,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,577050,8,3,1,1,2,0.854941573661119
ASNM-CDX-2009,BernoulliNB,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,1780,1,1,2,3,1,0.1850627609327673
ASNM-CDX-2009,DNN,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,56,6,2,2,1,3,0.0234542111863979
ASNM-CDX-2009,DT,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,11541,5,1,1,1,2,0.8387754431168755
ASNM-CDX-2009,ExtraTree,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,11541,5,5,1,1,2,0.7735015953575879
ASNM-CDX-2009,FT-Transformer,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,256,7,2,2,1,3,0.2124232170143914
ASNM-CDX-2009,GaussianNB,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,3558,1,1,2,3,1,0.0362643813651307
ASNM-CDX-2009,KNN,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,9779,4,1,1,2,1,0.0
ASNM-CDX-2009,LDA,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,397383,2,1,1,4,1,0.0921430016204374
ASNM-CDX-2009,LR,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,1780,3,1,2,1,2,0.0798867398887491
ASNM-CDX-2009,LightGBM_ExtraTrees,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,25300,9,5,2,1,2,0.6921468204453818
ASNM-CDX-2009,LightGBM_RF,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,75900,9,4,2,1,2,0.698253026677302
ASNM-CDX-2009,LinearSVC,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,1780,3,1,4,1,2,0.1055096350755383
ASNM-CDX-2009,MLP,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,100,6,2,2,1,3,0.0304720108765239
ASNM-CDX-2009,PassiveAggressive,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,1780,3,2,4,1,4,0.0624215416478806
ASNM-CDX-2009,Perceptron,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,1780,3,2,5,1,4,0.0400445065907514
ASNM-CDX-2009,QDA,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,792988,2,1,1,5,1,0.0052242109184989
ASNM-CDX-2009,Ridge,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,1780,3,1,1,1,1,0.5855920850569093
ASNM-CDX-2009,SGD,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,1780,3,2,4,1,3,0.0421198784123674
ASNM-CDX-2009,TabICL,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,27552258,10,2,2,1,5,0.8533002862910458
ASNM-CDX-2009,TabNet,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,96,7,2,2,1,3,0.3196357794028881
ASNM-CDX-2009,TabPFN,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,53153144,10,2,2,1,5,0.839866641171852
ASNM-CDX-2009,TabTransformer,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,10668,7,2,2,1,3,0.1501928805593871
ASNM-CDX-2009,XGBoost,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,3462300,9,4,2,1,2,0.8655246264140278
